,BANK,IFSC,MICR,BRANCH,ADDRESS,CITY1,CITY2,STATE,STD CODE,PHONE,BANK NAME,OFFICE,DISTRICT,CITY,CITY 2,STD CODE2
15,ALLAHABAD BANK,ALLA0213574,0,CAPC PATNA,"ALLAHABAD BANK CAPC PATNA, BUDH MARG, PATNA - 800001 (CAMPUS MAIN BRANCH, ALLAHABAD BANK PATNA)",PATNA,PATNA,BIHAR,6122.0,2235237,0,0,0,0,0,0.0
16,ALLAHABAD BANK,ALLA0213573,0,DAMC KOLKATA,"DAMC KOLKATA,919 ,LAKE TOWN, 1ST FLOOR,BLOCK A,KOLKATA-700089",KOLKATA,KOLKATA,WEST BENGAL,33.0,25213000,0,0,0,0,0,0.0
17,ALLAHABAD BANK,ALLA0213572,0,DAMC LUCKNOW,"NEW BUILDING, FIRST FLOOR, HAZRATGANJ, LUCKNOW (UP)",LUCKNOW,LUCKNOW,UTTAR PRADESH,522.0,4954658,0,0,0,0,0,0.0
18,ALLAHABAD BANK,ALLA0213571,0,DAMC BHUBANESWAR,"ALLAHABAD BANK├╜,DAMC BHUBANESWAR,├╜1ST FLOOR , PLOT NO 3/1 B,├╜IRC VILLAGE , NAYAPALLI,BHUBANESWAR , ODISHA - 751015",KHORDA,BHUBANESWAR,ODISHA,674.0,1234567,0,0,0,0,0,0.0
19,ALLAHABAD BANK,ALLA0213570,0,DAMC NEW DELHI,"17, PARLIAMENT STREET, NEW DELHI",NEW DELHI,NEW DELHI,DELHI,11.0,23360326,0,0,0,0,0,0.0
20,ALLAHABAD BANK,ALLA0213569,0,DAMC PATNA,226 PATLIPUTRA COLONY PATNA 800 013,PATNA,PATNA,BIHAR,612.0,2262722,0,0,0,0,0,0.0
21,ALLAHABAD BANK,ALLA0213568,0,DAMC BHOPAL,"ALLAHABAD BANK,OFFICE COMPLEX, C BLOCK, 2ND FLOOR, GOUTAM NAGAR, BHOPAL, MADHYA PRADESH,PIN- 462023",BHOPAL,BHOPAL,MAHARASHTRA,755.0,2581757,0,0,0,0,0,0.0
22,ALLAHABAD BANK,ALLA0213567,0,DAMC ALLAHABAD,"1ST FLOOR, ALLAHABAD BANK, CIVIL LINES BRANCH, 22 P.D. TONDON ROAD ,NEAR HIGH COURT, CIVIL LINES , PRAYAGRAJ, UTTAR PRADESH , PIN CODE - 211001",PRAYAGRAJ,ALLAHABAD,UTTAR PRADESH,522.0,1234567,0,0,0,0,0,0.0
23,ALLAHABAD BANK,ALLA0213560,0,RMPC SATNA,"3RD FLOOR, JAI STAMBH CHOWK ABOVE ALLAHABAD BANK, ZO SATNA, MP-485001",SATNA,SATNA,MADHYA PRADESH,7672.0,414414,0,0,0,0,0,0.0
24,ALLAHABAD BANK,ALLA0213559,0,RMPC RANCHI,"RANCHI HATIA ROAD DORANDA 1ST FLOOR, RANCHI - 834002",RANCHI,RANCHI,JHARKHAND,651.0,2250178,0,0,0,0,0,0.0
25,ALLAHABAD BANK,ALLA0213558,0,RMPC RAIPUR,"AMRIT SANDESH COMPLEX, G.E ROAD, RAIPUR, CHATTISGARH",RAIPUR,RAIPUR,CHHATTISGARH,788.0,2226648,0,0,0,0,0,0.0
26,ALLAHABAD BANK,ALLA0213553,0,RMPC NAGPUR,"CIVIL LINE, PALM ROAD, NAGPUR-440001",NAGPUR,NAGPUR,MAHARASHTRA,712.0,2530140,0,0,0,0,0,0.0
27,ALLAHABAD BANK,ALLA0213546,0,RMPC LUDHIANA,"SAI MOTOR BUILDING, OPPOSITE GREWAL HOSPITAL, B -XXII,3258/A FIRST FLOOR,CHEST SINGH NAGAR, FGILL ROAD, LUDHIANA, PUNJAB",LUDHIANA,LUDHIANA,PUNJAB,161.0,2505170,0,0,0,0,0,0.0
28,ALLAHABAD BANK,ALLA0213544,262010544,RMPC LAKHIMPUR KHERI,1ST FLOOR RADHEY COMPLEX KUTCHERY ROAD LAKHIMPUR KHERI 262701,LAKHIMPUR KHERI,LAKHIMPUR,UTTAR PRADESH,5872.0,273009,0,0,0,0,0,0.0
29,ALLAHABAD BANK,ALLA0213543,0,RMPC HOWRAH,"ALLAHABAD BANK, RMPC HOWRAH, 23 MUKHRAM KANORIA ROAD, HOTEL SAKET, HOWRAH ,PIN 711101",HOWRAH,HOWRAH,WEST BENGAL,33.0,26661113,0,0,0,0,0,0.0
30,ALLAHABAD BANK,ALLA0213536,0,RMPC LARGE HYDERABAD,"MINEVA COMPLEX, 94, SARAJINI DEVI ROAD, SECUNDERABAD PIN-500003",HYDERABAD,HYDERABAD,TELANGANA,40.0,27811054,0,0,0,0,0,0.0
31,ALLAHABAD BANK,ALLA0213529,826010002,RMPC DHANBAD,CHAUDA MANSION RAJENDRA NAGAR BANK MORE KATRASGARH BRANCH,DHANBAD,DHANBAD,JHARKHAND,326.0,23031,0,0,0,0,0,0.0
32,ALLAHABAD BANK,ALLA0213528,0,RMPC DEHRADUN,"1, GANDHI ROAD, CLOCK TOWER, DEHRADUN-248001",DEHRADUN,DEHRADUN,UTTARAKHAND,135.0,2650575,0,0,0,0,0,0.0
33,ALLAHABAD BANK,ALLA0213524,0,RMPC BHUBANESWAR,"3/1 BIRC VILLAGE NAYAPALLI CIVIC CENTRE, BHUBANESWAR, 751015",KHURDA,BHUBANESWAR,ODISHA,674.0,2361123,0,0,0,0,0,0.0
34,ALLAHABAD BANK,ALLA0213521,812010001,RMPC BHAGALPUR,"ZONAL OFFICE,DEVDOOT COMPLEX,FIRST FLOOR,15,RADHA RANI SINHA ROAD,BHAGALPUR",BHAGALPUR,BHAGALPUR,BIHAR,641.0,2420185,0,0,0,0,0,0.0
35,ALLAHABAD BANK,ALLA0213520,0,RMPC BERHAMPORE,46/6 BABUL BANA ROAD PO BERHAMPORE DIST-MURSHIDABAD PIN-742101,MURSHIDABAD,BERHAMPORE,WEST BENGAL,3482.0,256095,0,0,0,0,0,0.0
36,ALLAHABAD BANK,ALLA0213518,0,RMPC BARASAT,"BADU ROAD, NEAR MADHYAMGRAM CHOUMATHA, P.O. UDAYRAJPUR, DIST-NORTH 24 PARGANAS, PIN-700129",NORTH 24 PARGANAS,KOLKATA,WEST BENGAL,33.0,9425171556,0,0,0,0,0,0.0
37,ALLAHABAD BANK,ALLA0213514,0,RMPC JALANDHAR,"1ST FLOOR, OPP NEHRU GARDEN CIVIL LINES JALANDHAR PIN-144001",JALANDHAR,JALANDHAR,PUNJAB,181.0,2225812,0,0,0,0,0,0.0
38,ALLAHABAD BANK,ALLA0213512,380010023,RMPC AHMEDABAD,SADHURAM COMPLEX NEAR AUDA ASHRAM ROAD AHMEDABAD 380014,AHMEDABAD,AHMEDABAD,GUJARAT,79.0,27544911,0,0,0,0,0,0.0
39,ALLAHABAD BANK,ALLA0213510,0,STRESSED ASSET MANAGEMENT BRANCH,"6-3-850, SRINIVASA PALAZA, 1ST FLOOR, SHEESH MAHAL, THEATRE ROAD , AMEERPET",HYDERABAD,HYDERABAD,TELANGANA,40.0,23411773,0,0,0,0,0,0.0
40,ALLAHABAD BANK,ALLA0213509,0,SAM AHMEDABAD,"ACME CENTER, NEAR NAVRANGPURA POLICE STATION NAVRANGPURA AHMEDABAD",AHMEDABAD,AHMEDABAD,GUJARAT,79.0,26464402,0,0,0,0,0,0.0
41,ALLAHABAD BANK,ALLA0213508,0,SAM LUDHIANA,"BXXIII, 98165, INDUSTRIAL AREA, NEAR- CHEEMA CHOWK, LUDHIANA",LUDHIANA,LUDHIANA,PUNJAB,161.0,2224920,0,0,0,0,0,0.0
42,ALLAHABAD BANK,ALLA0213507,0,STRESSED ASSET MANAGEMENT LARGE BRANCH,"4TH FLOOR, ALLAHABAD BANK BUILDING (ADJACENT TO GD MARKET), PLOT NO. 377 & 378, SECTOR 3, SALT LAKE, KOLKATA - 700106",NORTH 24 PARGANAS,KOLKATA,WEST BENGAL,33.0,23345573,0,0,0,0,0,0.0
43,ALLAHABAD BANK,ALLA0213506,0,SAM LARGE MUMBAI,"2ND FLOOR, ALLAHABAD BANK BUILDING , 37, SAMACHAR MARG, FORT, MUMBAI, 400023",MUMBAI,MUMBAI,MAHARASHTRA,22.0,20822016,0,0,0,0,0,0.0
44,ALLAHABAD BANK,ALLA0213505,0,SAM LARGE,"17 PARLIAMENT STREET, NEW DELHI",NEW DELHI,NEW DELHI,DELHI,11.0,40230166,0,0,0,0,0,0.0
45,ALLAHABAD BANK,ALLA0213504,494010503,ICCHAPUR,"VILL-ICCHAPUR, PO-RETAWAND, TEHSIL AND BLOCK BASTAR PIN-494223",BASTAR,BASTAR,CHANDIGARH,7782.0,9907686955,0,0,0,0,0,0.0
46,ALLAHABAD BANK,ALLA0213502,210010005,VIKAS BHAWAN,"NEW VIKAS BHAWAN, SONEYPUR,KARWI",CHITRAKOOT,CHITRAKOOT,UTTAR PRADESH,5198.0,9935005483,0,0,0,0,0,0.0
47,ALLAHABAD BANK,ALLA0213501,222010056,NEWADHIYA,"NEWADHIYA BRANCH,NEWADHIYA BYE PASS ROAD,NEAR RAM JANAKI MANDIR,DISTT JAUNPUR UP,PIN 222128",JAUNPUR,JAUNPUR,UTTAR PRADESH,0.0,9696151646,0,0,0,0,0,0.0
48,ALLAHABAD BANK,ALLA0213500,334010006,BAMBLOO,"GRAMPANCHAYAT, BAMBLOO, BIKANER, RAJASTHAN, PIN-334022",BIKANER,BIKANER,RAJASTHAN,1522.0,8290188602,0,0,0,0,0,0.0
49,ALLAHABAD BANK,ALLA0213499,301010503,BARKHERA,"(SMT. SHANTI DEVI C/O PRAHLAD RAM SANI) DEVI JI KOTHI, VILL & POST BARKHERA, TEHSIL-MAALKHERA, PIN CODE-301406",ALWAR,MALAKHERA,RAJASTHAN,144.0,9261530601,0,0,0,0,0,0.0
50,ALLAHABAD BANK,ALLA0213498,743010601,MANIRTAT,"VILL AND P.O.- MADHYA MANIRTAT,P.S.-JOYNAGAR,DIST-SOUTH 24 PARGANAS,PIN-743349",SOUTH 24 PARGANAS,SOUTH 24 PARGANAS,WEST BENGAL,3218.0,9933878272,0,0,0,0,0,0.0
51,ALLAHABAD BANK,ALLA0213497,812010504,BHAWANIPUR,"AT PO-BHAWANIPUR, PS-ANTICHAK, DISST-BHAGALPUR(BIHAR), PIN-813203",BHAGALPUR,BHAGALPUR,BIHAR,641.0,8936899672,0,0,0,0,0,0.0
52,ALLAHABAD BANK,ALLA0213496,843010102,SHEOHAR,"ALLAHABAD BANK,SHEOHAR BRANCH,C/O DR SURAJ KUMAR,S/O LATE VIJAY SHANKAR SINGH,WARD NO 15,NEAR GIRLS HIGH SCHOOL,POST DIST SHEOHAR PIN CODE 843329",SHEOHAR,SHEOHAR,BIHAR,0.0,7462821639,0,0,0,0,0,0.0
53,ALLAHABAD BANK,ALLA0213494,248010009,DALANWALA,"ALLAHABAD BANK,MAIN SAHASTRA DHARA CHAURAHA/DALANWALA ROAD, DEHRADUN , STATE UTTARAKHAND , PIN -248001",DEHRADUN,DEHRADUN,UTTARAKHAND,135.0,2713949,0,0,0,0,0,0.0
54,ALLAHABAD BANK,ALLA0213492,110010162,BHONDSI,"MAIN GURGAON-SOHNA ROAD,OPPOSITE GOVT.SENIOR SECONDARY SCHOOL,BHONDSI,DISTT.GURGAON HARYANA 122102",BHONDSI,GURGAON,HARYANA,0.0,9537926636,0,0,0,0,0,0.0
55,ALLAHABAD BANK,ALLA0213491,600010031,THIRUVALLUR,"PLOT NO. 872, TNHB LAYOUT, KAKALUR AVADI BYPASS ROAD, THIRUVALLUR - 602001",THIRUVALLUR,TIRUVALLUR,TAMIL NADU,44.0,27663322,0,0,0,0,0,0.0
56,ALLAHABAD BANK,ALLA0213490,170010002,RAMPUR,"ALLAHABAD BANK, WARD NO- 6, NEAR COURT COMPLAX, BROW ROAD, RAMPUR BUSHAR, DISTT.- SHIMLA, HIMACHAL PRADES,PIN-172001",SHIMLA,RAMPUR,HIMACHAL PRADESH,1782.0,9418621300,0,0,0,0,0,0.0
57,ALLAHABAD BANK,ALLA0213489,822010501,MASIHANI,"PANCHAYAT BHAWAN,VILL -MASIHANI,BLOCK -CHHATARPUR,PIN-822113",PALAMAU,CHHATARPUR,JHARKHAND,0.0,8349308435,0,0,0,0,0,0.0
58,ALLAHABAD BANK,ALLA0213488,834010503,CHATRA,"PANCHAYAT BHAWAN,VILL -CHATRA,BLOCK -ANGARA,PIN-835103",RANCHI,ANGARA,JHARKHAND,0.0,7654720797,0,0,0,0,0,0.0
59,ALLAHABAD BANK,ALLA0213487,226010040,KAKORI,"ALLAHABAD BANK, KAKORI, H.NO.11, KAZI GARHI, KAKORI, DISTT - LUCKNOW, PIN - 226107",LUCKNOW,KAKORI,UTTAR PRADESH,5212.0,9452464632,0,0,0,0,0,0.0
60,ALLAHABAD BANK,ALLA0213486,487010506,KARELI,"CHAUDHARY PRAVIN SINGH KAURAW, CHAUDHARY COMPLEX, NH - 26, MAHENDRA WARD, ADJACENT TO MPEB COLONY, KARELI, NARSINGHPUR - 487221",NARSIMHAPUR,KARELI,MADHYA PRADESH,7792.0,8962951492,0,0,0,0,0,0.0
61,ALLAHABAD BANK,ALLA0213485,482010017,RANJHI,"C/O. JEEVAN PANJABI, KRISNA MARKET NEAR PAUL HOSPITAL, AZAD NAGAR RANJHI,DISTT-JABALPUR, M.P.-482011",JABALPUR,JABALPUR,MADHYA PRADESH,0.0,9039584029,0,0,0,0,0,0.0
62,ALLAHABAD BANK,ALLA0213484,110010161,DHANWANPUR,"MAIN DHANWAPUR ROAD, NEAR GOVT HIGH SCHOOL, VILLAGE DHANWANPUR, GURGAON, HARYANA",GURGAON,GURGAON,HARYANA,0.0,9717934207,0,0,0,0,0,0.0
63,ALLAHABAD BANK,ALLA0213483,785010203,B G ROAD SIBSAGAR,"ONGC TINALI, B G ROAD SIBSAGAR",SIBSAGAR,SIBSAGAR,ASSAM,377.0,7896506113,0,0,0,0,0,0.0
64,ALLAHABAD BANK,ALLA0213482,786010203,RONGAGORA ROAD TINSUKIA,"ADITYA COMPLEX, RONGAGORA ROAD TINSUKIA",TINSUKIA,TINSUKIA,ASSAM,374.0,7086378240,0,0,0,0,0,0.0
65,ALLAHABAD BANK,ALLA0213481,713010251,DHATRIGRAM,"VILL - DHATRIGRAM, BURDWAN KALNA ROAD, NEAR RAIL GATE, P.O. - DHATRIGRAM",BURDWAN,KALNA,WEST BENGAL,3454.0,9674963007,0,0,0,0,0,0.0
66,ALLAHABAD BANK,ALLA0213480,411010009,DHANORI,"ALLAHABAD BANK, DHANORI BRANCH, S NO. 55/3, BHAIRAVNAGAR, NEAR MATOSHRI KARYALYA, DHANORI ROAD, DHANORI, PUNE - 411015",PUNE,PUNE,MAHARASHTRA,20.0,8605145417,0,0,0,0,0,0.0
67,ALLAHABAD BANK,ALLA0213479,721010402,CONTAI,"DIGHA BYPASS ROAD, AT & P.O.-CONTAI, DISTRICT-PURBA MIDNAPORE, PIN-721401",EAST MIDNAPORE,EAST MIDNAPORE,WEST BENGAL,3220.0,9547989953,0,0,0,0,0,0.0
68,ALLAHABAD BANK,ALLA0213478,800010511,MARUFGANJ,"ALLAHABAD BANK, MARUFGANJ BRANCH, OPPOSITE BABUA JI KA HATA, MARUFGANJ, PATNA CITY, DISTRICT - PATNA",PATNA,PATNA,BIHAR,612.0,9852214014,0,0,0,0,0,0.0
69,ALLAHABAD BANK,ALLA0213477,768010503,HIRMA,"RAJEEV GANDHI SEVA KENDRA, AT/PO - HIRMA, DT. JHARSUGUDA, PIN - 768202, ODISHA",JHARSUGUDA,JHARSUGUDA,ODISHA,6645.0,9438541652,0,0,0,0,0,0.0
70,ALLAHABAD BANK,ALLA0213476,520010302,MANGALAGIRI,"1 BY448, GOUTAM BUDDHA ROAD,MANGALAGIRI. 522503",MANGALAGIRI,HYDERABAD,TELANGANA,863.0,9705021291,0,0,0,0,0,0.0
71,ALLAHABAD BANK,ALLA0213475,530010005,MVP COLONY,"PLOT NO-11,SECTOR-3,MIG-I,MVP COLONY,VISAKHAPATNAM-530017",VISAKHAPATNAM,VISAKHAPATNAM,ANDHRA PRADESH,891.0,9949936475,0,0,0,0,0,0.0
72,ALLAHABAD BANK,ALLA0213474,243010503,LADPUR,"ALLAHABAD BANK,LADPUR BRANCH, C/O SRI NATHU LAL, VILL  LADPUR, PO - BHOJIPURA, DISTT.  BAREILLY (U.P. ) - 243122",BAREILLY,BAREILLY,UTTAR PRADESH,582.0,7599322527,0,0,0,0,0,0.0
73,ALLAHABAD BANK,ALLA0213473,284010153,THANWARA,VILL-THANWARA PO-THANWARA TEHSIL-LALITPUR LALITPUR UTTAR PRADESH 284501,LALITPUR,LALITPUR,UTTAR PRADESH,0.0,9454996914,0,0,0,0,0,0.0
74,ALLAHABAD BANK,ALLA0213472,206010103,RAURA,VILL-RAURA PO-SAMTHAR TEHSIL-TAKHA ETAWAH UTTAR PRADESH 206242,ETAWAH,ETAWAH,UTTAR PRADESH,0.0,7498547430,0,0,0,0,0,0.0
75,ALLAHABAD BANK,ALLA0213471,202010506,NARWARI,VILL-NARWARI PO-TAPPAL TEHSIL-KHAIR ALIGARH UTTAR PRADESH 202165,ALIGARH,ALIGARH,UTTAR PRADESH,0.0,9756937640,0,0,0,0,0,0.0
76,ALLAHABAD BANK,ALLA0213470,243010502,MADHAULI,"C/O SRI MAHESH PAL, VILL & PO MADHAULI, DISTT-BAREILLY, U.P.- 243502",BAREILLY,BAREILLY,UTTAR PRADESH,581.0,9259471391,0,0,0,0,0,0.0
77,ALLAHABAD BANK,ALLA0213469,482010016,KHAMDEHI,"VILLAGE - KHAMDEHI POST - SAHSAN, TEHSIL - SHAHPURA, DIST JABALPUR",JABALPUR,JABALPUR,MADHYA PRADESH,761.0,9981545348,0,0,0,0,0,0.0
78,ALLAHABAD BANK,ALLA0213468,0,AMARUN,VILL AND PO- AMARUN,BARDDHAMAN,BHATAR,WEST BENGAL,342.0,8768701469,0,0,0,0,0,0.0
79,ALLAHABAD BANK,ALLA0213467,271010306,LAXMAN NAGAR MOD,"VILLAGE AND POST FATUHAPUR, LAXMAN NAGAR MOD, TEHSIL-BHINGA, DISTRICT-SHRAVASTI, PINCODE 271804",SHRAVASTI,SHRAVASTI,UTTAR PRADESH,5250.0,8739010025,0,0,0,0,0,0.0
80,ALLAHABAD BANK,ALLA0213466,494010502,JAMAWADA,"AT JAMAWADA,PO BADEMURMA,TEHSIL JAGDALPUR,DIST BASTAR,CHHATTISGARH,PIN 494001",BASTAR,JAGDALPUR,CHHATTISGARH,0.0,9174450855,0,0,0,0,0,0.0
81,ALLAHABAD BANK,ALLA0213465,494010501,NIYANAR,"AT PO NIYANAR,TEHSIL JAGDALPUR,DIST BASTAR,CHHATTISGARH,PIN 494001",BASTAR,JAGDALPUR,CHHATTISGARH,0.0,7869094700,0,0,0,0,0,0.0
82,ALLAHABAD BANK,ALLA0213464,110010160,JAHANGIRPURI,"A-10, 11, 89 GT KARNAL ROAD, RAMGARH, JAHANGIRPURI, NEW DELHI - 110033",DELHI,JAHANGIRPURI,DELHI,11.0,8527190518,0,0,0,0,0,0.0
83,ALLAHABAD BANK,ALLA0213463,0,RANGAPANI,"KAMLESH SAHA CHOWDHURY,RANGAPANI, DIT DARJEELING, WEST BENGAL, PIN 734434",DARJEELING,DARJEELING,WEST BENGAL,33.0,8583987474,0,0,0,0,0,0.0
84,ALLAHABAD BANK,ALLA0213462,752010506,BAGHAMARI,"AT PO - BAGHAMARI, DIST - KHORDHA, ODISHA, PIN - 752061",KHURDA,BAGHAMARI,ODISHA,6755.0,7852929193,0,0,0,0,0,0.0
85,ALLAHABAD BANK,ALLA0213461,767010102,SONEPUR,"GODAGHATA PADA,SONEPUR,NEAR HOTEL KASTURI,DIST - SUBARNAPUR,ODISHA,PIN - 767017",SONEPUR,SONEPUR,ODISHA,0.0,9777453259,0,0,0,0,0,0.0
86,ALLAHABAD BANK,ALLA0213460,768002102,DEOGARH,"SASAN SAHI, DEOGARH, WARD NO.3, P.O. & DIST. DEOGARH, ODISHA, PIN - 768108",DEOGARH,DEOGARH,ODISHA,6641.0,9938678313,0,0,0,0,0,0.0
87,ALLAHABAD BANK,ALLA0213459,0,RAIKOT,"MALERKOTLA HIGHWAY, NEAR HARI SINGH NALWA CHOWK, RAIKOT, DISTT-LUDHIANA,PUNJAB-141109",LUDHIANA,RAIKOT,PUNJAB,161.0,9417551519,0,0,0,0,0,0.0
88,ALLAHABAD BANK,ALLA0213458,800010034,DANAPUR,"ALLAHABAD BANK DANAPUR BRANCH, NEAR ANDHRA BANK, DALDALI MORE, DANAPUR, DISTRICT-PATNA",PATNA,PATNA,BIHAR,0.0,9693056555,0,0,0,0,0,0.0
89,ALLAHABAD BANK,ALLA0213457,800010035,NISHARPUR,"ALLAHABAD BANK NISHARPUR BRANCH, VILLAGE NISHARPUR, PO KAB, DISTRICT PATNA",PATNA,PATNA,BIHAR,0.0,8258989712,0,0,0,0,0,0.0
90,ALLAHABAD BANK,ALLA0213456,802010103,PIRO,"ALLAHABAD BANK PIRO BRANCH, VIJAY LAXMI MARKET, ARA SASARAM ROAD, DISTRICT- BHOJPUR",BHOJPUR,BHOJPUR,BIHAR,0.0,7762887362,0,0,0,0,0,0.0
91,ALLAHABAD BANK,ALLA0213455,0,BURDWAN ROAD,"SHYAMLAL TARFADAR BURDWAN ROAD,NEAR RISHI BHAWAN SILIGURI,DARJEELING,WEST BENGAL PIN 734005",DARJEELING,SILIGURI,WEST BENGAL,33.0,8944916696,0,0,0,0,0,0.0
92,ALLAHABAD BANK,ALLA0213454,492010008,NAYA RAIPUR,"PLOT NO-P4-B/659, SECTOR-27, CG HOUSING BOARD COLONY, NAYA RAIPUR, DISTRICT-RAIPUR, CHHATTISGARH, PIN-492002",RAIPUR,RAIPUR,CHHATTISGARH,771.0,9713800117,0,0,0,0,0,0.0
93,ALLAHABAD BANK,ALLA0213453,222010055,RAMPUR,"IAE AND PO-RAMPUR,THESI-JAUNPUR,DISTRICT-JAUNPUR-222203",JAUNPUR,RAMPUR,UTTAR PRADESH,0.0,9792985777,0,0,0,0,0,0.0
94,ALLAHABAD BANK,ALLA0213452,228010056,SHAHPUR NANEMAU,"ALLAHABAD BANK, SHAHPUR NANEMAU, TALUKA JAISINGHPUR,DIST SULTANPUR,UTTARPRADESH",SULTANPUR,JAISINGHPUR,UTTAR PRADESH,522.0,9795226995,0,0,0,0,0,0.0
95,ALLAHABAD BANK,ALLA0213451,400010056,BELAPUR,"SHOP NO.9, BALAJI BHAWAN, PLOT NO. 42A, SECTOR 11, CBD BELAPUR, NAVI MUMBAI, DIST - THANE, PIN - 400614",THANE,THANE,MAHARASHTRA,22.0,8898942738,0,0,0,0,0,0.0
96,ALLAHABAD BANK,ALLA0213450,766010503,KANTESRI,"AT PO . KANTESRI, VIA KESINGA,DT KALAHANDI, PIN 766012",KALAHANDI,KANTESRI,ODISHA,6670.0,9438846385,0,0,0,0,0,0.0
97,ALLAHABAD BANK,ALLA0213449,180010006,BARI BRAHMANA,"ALLAHABAD BANK NEAR JK OIL MILL, NH 1A BARI BRAHMANA DISTT. SAMBA JAMMU AND KASHMIR 181133",SAMBA,SAMBA,JAMMU AND KASHMIR,121.0,9419181825,0,0,0,0,0,0.0
